Sample        Spectrum      Background    Delta
 541          -192.9966     -8            -186 
 542          -148.5013     -8            -141 
 543          -141.5012     -8            -134 
 544          -288.9923     -8            -282 
 545          -184.5061     -8            -177 
 546          -120.5049     -8            -113 
 547          -199.9953     -8            -193 
 548          -122.5049     -8            -115 
 549          -169.4954     -8            -162 
 550          -209.4965     -8            -202 
 551          -91.00674     -8            -84 
 552          -103.0026     -8            -96 
 553          -114.0003     -8            -107 
 554           5.991516     -8             13 
 555          -149.9871     -8            -143 
 556          -121.0015     -8            -114 
 557          -113.0027     -8            -106 
 558          -88.50064     -8            -81 
 559          -148.4961     -8            -141 
 560          -123.9993     -8            -117 
 561          -140.9996     -8            -134 
 562          -137.0026     -8            -130 
 563          -164.9969     -8            -158 
 564          -48.50943     -8            -41 
 565          -56.99985     -8            -50 
 566          -198.9901     -8            -192 
 567          -120.5066     -8            -113 
 568          -159.5005     -8            -152 
 569          -156.5006     -8            -149 
 570          -202.9941     -8            -196 
 571          -128.5053     -8            -121 
 572          -126.0023     -8            -119 
 573          -106.9982     -8            -100 
 574          -190.9941     -8            -184 
 575          -104.5053     -8            -97 
 576          -219.4911     -8            -212 
 577          -236.4964     -8            -229 
 578          -166.5045     -8            -159 
 579          -148.9989     -8            -142 
 580          -199.9977     -8            -193 
 581          -169.0049     -8            -162 
 582          -192.9991     -8            -186 
 583          -281.4937     -8            -274 
 584          -166.5044     -8            -159 
 585          -171.4979     -8            -164 
 586          -160.4995     -8            -153 
 587          -231.9943     -8            -225 
 588          -192.9996     -8            -186 
 589          -171.0041     -8            -164 
 590          -228.4973     -8            -221 
 591          -242.5023     -8            -235 
 592          -202.5029     -8            -195 
 593          -129.5063     -8            -122 
 594          -103.0028     -8            -96 
 595          -160.4969     -8            -153 
 596          -155.0005     -8            -148 
 597          -204.4989     -8            -197 
 598          -127.0038     -8            -120 
 599          -94.50198     -8            -87 
 600          -165.9977     -8            -159 
 601          -113.0005     -8            -106 
 602          -185.9971     -8            -179 
 603          -65.50449     -8            -58 
 604          -168.9958     -8            -162 
 605          -131.501      -8            -124 
 606          -115.9993     -8            -109 
 607          -66.50339     -8            -59 
 608          -184.9917     -8            -178 
 609          -188.0003     -8            -181 
 610          -247.4975     -8            -240 
 611          -182.5064     -8            -175 
 612          -167.002      -8            -160 
 613          -79.50394     -8            -72 
 614          -157.9964     -8            -151 
 615          -152.9998     -8            -146 
 616          -156.0016     -8            -149 
 617          -59.50864     -8            -52 
 618          -156.9933     -8            -150 
 619          -214.4944     -8            -207 
 620          -204.0014     -8            -197 
 621          -113.5061     -8            -106 
 622          -149.9994     -8            -143 
 623          -160.9971     -8            -154 
 624          -157.0032     -8            -150 
 625          -169.4994     -8            -162 
 626          -60.50946     -8            -53 
 627          -225.4901     -8            -218 
 628          -226.0007     -8            -219 
 629          -220.0013     -8            -213 
 630          -189.5027     -8            -182 
 631          -258.9967     -8            -252 
 632          -146.5071     -8            -139 
 633          -127.4995     -8            -120 
