Sample	Spectrum	Background	Delta										Helium			Argon	
348	14368.5	182	14186.5														
349	14507	182	14325														
350	14876	182	14694														
351	15008.5	182	14826.5														
352	15478.5	182	15296.5														
353	16426	182	16244														
354	25480	182	25298														
355	277983	182	277801														
356	792660	182	792478														
357	831406.5	182	831224.5														
358	815743	182	815561														
359	468770.5	182	468588.5														
360	47206	182	47024														
361	19165	182	18983														
362	18012	182	17830														
363	18016	182	17834														
364	17996.5	182	17814.5														
365	17514.5	182	17332.5														
366	17716.5	182	17534.5														
367	17926	182	17744														
368	17858.5	182	17676.5														
369	18325.5	182	18143.5														
370	19060	182	18878														
371	19371	182	19189														
372	19582.5	182	19400.5														
373	19861.5	182	19679.5														
374	19644.5	182	19462.5														
375	20266.5	182	20084.5														
376	32894	182	32712														
377	89400	182	89218														
378	98635	182	98453														
379	98074.5	182	97892.5														
380	78101	182	77919														
381	27686.5	182	27504.5														
382	23635.5	182	23453.5														
383	52957.5	182	52775.5														
384	484113.5	182	483931.5														
385	724783	182	724601														
386	732493	182	732311														
387	679480	182	679298														
388	193320.5	182	193138.5														
389	31301	182	31119														
390	29038	182	28856														
391	30923	182	30741														
392	30734	182	30552														
393	30533	182	30351														
394	27224	182	27042														
395	25704	182	25522														
396	26304	182	26122														
397	26375.5	182	26193.5														
398	26808	182	26626														
399	39776	182	39594														
400	109505.5	182	109323.5														
401	135485	182	135303														
402	135415.5	182	135233.5														
403	116840.5	182	116658.5														
404	45523.5	182	45341.5														
405	30008	182	29826														
406	30529	182	30347														
407	51197.5	182	51015.5														
408	108386	182	108204														
409	112190	182	112008														
410	111455.5	182	111273.5														
411	81234.5	182	81052.5														
412	35170.5	182	34988.5														
413	32275	182	32093														
414	32287.5	182	32105.5														
415	34358	182	34176														
416	70904	182	70722														
417	171605	182	171423														
418	211370	182	211188														
419	211019.5	182	210837.5														
420	160653	182	160471														
421	63544	182	63362														
422	39654	182	39472														
423	46336.5	182	46154.5														
424	48788	182	48606														
425	67110.5	182	66928.5														
426	322955	182	322773														
427	438268	182	438086														
428	438062	182	437880														
429	406780.5	182	406598.5														
430	114472.5	182	114290.5														
431	41096	182	40914														
432	70791	182	70609														
433	166569	182	166387														
434	174567	182	174385														
435	174082	182	173900														
436	124466	182	124284														
437	44405.5	182	44223.5														
438	38888	182	38706														
439	39098	182	38916														
440	39033	182	38851														
441	38798	182	38616														
442	39444	182	39262														
443	39145.5	182	38963.5														
444	39994	182	39812														
445	39767	182	39585														
446	39740.5	182	39558.5														
447	40512.5	182	40330.5														
448	45144.5	182	44962.5														
449	121329.5	182	121147.5														
450	159033	182	158851														
451	157958	182	157776														
452	152807.5	182	152625.5														
453	99935.5	182	99753.5														
454	186766.5	182	186584.5														
455	211940	182	211758														
456	208979.5	182	208797.5														
457	159084	182	158902														
458	55708	182	55526														
459	43258.5	182	43076.5														
460	91934.5	182	91752.5														
461	319460	182	319278														
462	497103	182	496921														
463	500981	182	500799														
464	432149.5	182	431967.5														
465	175839	182	175657														
466	48348.5	182	48166.5														
467	41908	182	41726														
468	41392	182	41210														
469	42037.5	182	41855.5														
470	41256.5	182	41074.5														
471	43864	182	43682														
472	94530	182	94348														
473	143873.5	182	143691.5														
474	145070	182	144888														
475	142138.5	182	141956.5														
476	76910.5	182	76728.5														
477	43352	182	43170														
478	42793.5	182	42611.5														
479	41648.5	182	41466.5														
480	41939.5	182	41757.5														
481	42896.5	182	42714.5														
482	55851.5	182	55669.5														
483	150281.5	182	150099.5														
484	291040.5	182	290858.5														
485	344035.5	182	343853.5														
486	318181.5	182	317999.5														
487	222651	182	222469														
488	71697.5	182	71515.5														
489	43631	182	43449														
490	44986.5	182	44804.5														
491	78601.5	182	78419.5														
492	100463.5	182	100281.5														
493	101252.5	182	101070.5														
494	96811	182	96629														
495	54417	182	54235														
496	42745	182	42563														
497	41829.5	182	41647.5														
498	41438	182	41256														
499	42180.5	182	41998.5														
500	42071.5	182	41889.5														
501	42337.5	182	42155.5														
502	49875	182	49693														
503	51762.5	182	51580.5														
504	50719	182	50537														
505	49564	182	49382														
506	42450	182	42268														
507	40893	182	40711														
508	40983.5	182	40801.5														
509	41680	182	41498														
510	41245	182	41063														
511	40767.5	182	40585.5														
512	41271	182	41089														
513	40917	182	40735														
514	40402.5	182	40220.5														
515	40428	182	40246														
516	40419	182	40237														
517	40091	182	39909														
518	39751	182	39569														
519	40261.5	182	40079.5														
520	39748.5	182	39566.5														
521	38862.5	182	38680.5														
522	39165	182	38983														
523	39299	182	39117														
524	38727	182	38545														
525	38699.5	182	38517.5														
526	38730	182	38548														
527	38753.5	182	38571.5														
528	38135	182	37953														
529	38335.5	182	38153.5														
530	37824.01	182	37642.01														
531	37346.51	182	37164.51														
532	37837.49	182	37655.49														
533	38253	182	38071														
534	45893	182	45711														
535	135325.9	182	135143.9														
536	205295	182	205113														
537	209395.5	182	209213.5														
538	199532	182	199350														
539	86849.99	182	86667.99														
540	41686.51	182	41504.51														
541	38019	182	37837														
542	45251.98	182	45069.98														
543	64611.99	182	64429.99														
544	69276.99	182	69094.99														
545	68376.99	182	68194.99														
546	56140.99	182	55958.99														
547	37510	182	37328														
548	34910.51	182	34728.51														
549	34269.5	182	34087.5														
550	33757	182	33575														
551	33250.51	182	33068.51														
552	33690	182	33508														
553	34258	182	34076														
554	34087	182	33905														
555	33855.5	182	33673.5														
556	31999.99	182	31817.99														
557	31205.5	182	31023.5														
558	31042.99	182	30860.99														
559	30185.01	182	30003.01														
560	29632.5	182	29450.5														
561	29664.98	182	29482.98														
562	29365.5	182	29183.5														
563	28918	182	28736														
564	28297.49	182	28115.49														
565	28346.49	182	28164.49														
566	28151.5	182	27969.5														
567	27797	182	27615														
568	27468.5	182	27286.5														
569	27272	182	27090														
570	26884.5	182	26702.5														
571	26720	182	26538														
572	26278.01	182	26096.01														
573	27391.01	182	27209.01														
574	38224	182	38042														
575	51413	182	51231														
576	54575.02	182	54393.02														
577	53170.99	182	52988.99														
578	37250	182	37068														
579	26381.51	182	26199.51														
